feature,offering_type,count,mean,std,min,25%,50%,75%,max
listing_age_days,Rent,18672.0,352.4203084832905,242.15877638546525,0.0,156.0,329.0,497.0,1507.0
area_flag,Rent,18672.0,0.00010711225364181663,0.010349227836758373,0.0,0.0,0.0,0.0,1.0
amen_balcony,Rent,18672.0,0.9287167952013711,0.25730420754434175,0.0,1.0,1.0,1.0,1.0
amen_security,Rent,18672.0,0.891977292202228,0.3104174012690856,0.0,1.0,1.0,1.0,1.0
amen_covered_parking,Rent,18672.0,0.6042202227934875,0.4890306259935594,0.0,0.0,1.0,1.0,1.0
amen_view_of_landmark,Rent,18672.0,0.5069622964867181,0.4999649123491003,0.0,0.0,1.0,1.0,1.0
amen_shared_gym,Rent,18672.0,0.4524421593830334,0.49774644188351386,0.0,0.0,0.0,1.0,1.0
amen_lobby_in_building,Rent,18672.0,0.5049807197943444,0.4999885807200701,0.0,0.0,1.0,1.0,1.0
amen_central_a_c,Rent,18672.0,0.6975149957155099,0.4593464125945626,0.0,0.0,1.0,1.0,1.0
amen_kitchen_appliances,Rent,18672.0,0.6703084832904884,0.4701136636926691,0.0,0.0,1.0,1.0,1.0
amen_built_in_wardrobes,Rent,18672.0,0.5547343616109683,0.497008429458811,0.0,0.0,1.0,1.0,1.0
amen_shared_spa,Rent,18672.0,0.35796915167095117,0.4794158397872163,0.0,0.0,0.0,1.0,1.0
amen_shared_pool,Rent,18672.0,0.3527206512425021,0.47782948990110097,0.0,0.0,0.0,1.0,1.0
amen_walk_in_closet,Rent,18672.0,0.3722150814053128,0.48340824337665694,0.0,0.0,0.0,1.0,1.0
amen_study,Rent,18672.0,0.30767994858611825,0.46154567118140866,0.0,0.0,0.0,1.0,1.0
amen_children_s_pool,Rent,18672.0,0.2542309340188518,0.43543968682459194,0.0,0.0,0.0,1.0,1.0
amen_view_of_water,Rent,18672.0,0.22997000856898028,0.4208245336935136,0.0,0.0,0.0,0.0,1.0
amen_private_garden,Rent,18672.0,0.25492716366752355,0.4358319376207766,0.0,0.0,0.0,1.0,1.0
amen_maids_room,Rent,18672.0,0.2487682090831191,0.432310763775661,0.0,0.0,0.0,0.0,1.0
amen_private_pool,Rent,18672.0,0.08745715509854328,0.28251137247620284,0.0,0.0,0.0,0.0,1.0
amen_networked,Rent,18672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amen_dining_in_building,Rent,18672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
price_per_sqm,Rent,18672.0,369.45443495425246,674.7670128326608,5.5,239.52095808383237,341.4634146341463,468.1050282891067,85000.0
total_rooms,Rent,18672.0,5.428716795201371,1.8784373032053612,1.0,4.0,6.0,6.0,14.0
is_furnished_binary,Rent,18672.0,0.5658740359897172,0.4956548887259557,0.0,0.0,1.0,1.0,1.0
amenity_count,Rent,18672.0,8.277795629820051,4.297092408085884,0.0,5.0,8.0,11.0,18.0
