listing_id,amen_balcony,amen_security,amen_covered_parking,amen_view_of_landmark,amen_shared_gym,amen_lobby_in_building,amen_central_a_c,amen_kitchen_appliances,amen_built_in_wardrobes,amen_shared_spa,amen_shared_pool,amen_walk_in_closet,amen_study,amen_children_s_pool,amen_view_of_water,amen_private_garden,amen_maids_room,amen_private_pool,amen_networked,amen_dining_in_building
R215KVMWGGP797TH7EVQ9K769C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
YTH0VNKSV8C08H06G3MGBPN2SC,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
R1910AFMZJ7HTSK4M2FKCN8468,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
W6JQTV83DWABXA79CDH70328EM,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0
BDFRWF8SYSFTSCJ31JZ9M8J3YW,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0
W63ZW2KWGXMBBFKCA0SQ4R7Y9M,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0
P7GAW5NV8KKQZMKS9EGH9BCSRM,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
KYQJPZGC8A6GFH3750YT8HHB68,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
24H5PEF0AMQQFD72JHCGG11VEG,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
K35P20RJMX5WY7JTW1ASBD7DZR,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
G6YG7CMR5FRM3J87SKKAS0FY28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
6A3M4QFVAE5GV8MTGACRAYFQXR,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
XWYW6DJGH69Q50TS36VYSX4JD0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
DMR5E7Q4K3JQHJ2W7XWDYTX7ER,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
HFY3FJ3PEQR0ADPJ1H9J0AGVD4,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
X6HGYKNFFY65A0XPZYMJCS9FT0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
